feature_set,model,oof_auc,cv_mean,cv_std
base,catboost,0.9400749580425177,0.9401384291318202,0.0011501482711676059
base,lightgbm,0.9400118838374176,0.9401067925058761,0.0013854726731871714
base_plus_engineered,catboost,0.9397232858142276,0.9397929894434127,0.0013017010894275094
base_plus_engineered,lightgbm,0.9391863337540234,0.9392939149061583,0.0012394913790184092
base_plus_engineered_plus_rank,catboost,0.9398250564919306,0.9399053769836063,0.0012588930128281661
base_plus_engineered_plus_rank,lightgbm,0.938935772683306,0.9391953554099883,0.0013441960980896117
base_plus_engineered_plus_te,catboost,0.9397205720384325,0.9397951103481708,0.0012777355052084882
base_plus_engineered_plus_te,lightgbm,0.938984804567093,0.9392845872062795,0.0013806407394448827
