feature_set,model,oof_auc,cv_mean
minimal_interactions,catboost,0.9399222523075805,0.9400033024348023
minimal_interactions,lightgbm,0.9399417670426525,0.940081016229535
minimal_interactions_v2,catboost,0.93967221848297,0.9397371367143863
minimal_interactions_v2,lightgbm,0.9398751656844297,0.9399774542085656
charging_only,catboost,0.9399141250092584,0.9399806410680785
charging_only,lightgbm,0.9397578421715671,0.9399499625988359
income_only,catboost,0.9398758292128635,0.9399475955648597
income_only,lightgbm,0.9398792029712855,0.9399891704875594
